pos,nrmse_a_mem,nrmse_a_memless,nrmse_b_mem,nrmse_b_memless,mean_pred_a,mean_pred_b,spike_rate
23,0.33432062438479926,0.14377396212437285,0.17805316551827516,0.15025144535920346,0.505572296778361,1.529074338277181,0.1632421890894572
24,0.334272575101072,0.14419790039649494,0.18060648047732195,0.1495317979548136,0.506291659673055,1.529964558283488,0.16337499936421712
25,0.33402723209618634,0.14433734958678865,0.17892829983468278,0.1500763804625419,0.5061645237604777,1.5361840184529623,0.1626796861489614
26,0.33515437517083174,0.14459472969762394,0.18080708056794742,0.14952289235068342,0.5036298243204752,1.5354000695546468,0.1634947935740153
27,0.3352315013747216,0.1445436847841566,0.17935597370891793,0.14895193396562673,0.5047171115875244,1.5329133415222167,0.16344792246818543
28,0.33485823676788967,0.1448861879505842,0.1778284796231463,0.14894759744578434,0.5040715376536051,1.5343943214416504,0.16340104500452676
29,0.3342329650066822,0.14396707703299452,0.18055298756786553,0.14879593671477304,0.5064758268992106,1.529695593516032,0.16348177313804627
30,0.33397184741898683,0.14387756006179292,0.17996026518905692,0.14884624402278462,0.5062481037775676,1.529665075937907,0.1631458322207133
31,0.33339600476073816,0.14447955516546804,0.17981357510231716,0.14906288482808278,0.5086999718348185,1.5322938855489094,0.16311979413032532
32,0.3340955646376594,0.14477713325001085,0.17958029877945075,0.14968341426277304,0.5068187204996745,1.5287832323710124,0.1638281238079071
33,0.33265701810184556,0.1445453345155741,0.1801048450299077,0.14944336331026456,0.5095005512237549,1.5316636435190836,0.16290625174840292
34,0.334075671534381,0.14430999236677677,0.18029486664178193,0.14973547499176104,0.5073697678248088,1.5275845305124918,0.16349739829699197
35,0.33262265966501947,0.14434733151561416,0.18000650305833454,0.15013498325700433,0.5095501708984375,1.5324336369832356,0.16310417175292968
36,0.33369626775648575,0.1441861878239956,0.17825432438395544,0.14969687297785395,0.5074327214558919,1.5351906204223633,0.16325781345367432
37,0.3337151270750518,0.14378820747331916,0.1797064874761952,0.149400571605503,0.5069602759679158,1.5301471424102784,0.16386719226837157
38,0.3332848587553456,0.14346465429627914,0.1790875594094735,0.14927343781092034,0.5075518321990967,1.5286676597595215,0.16315364877382915
39,0.3344995504662912,0.14422181026196737,0.17996466537091052,0.14900475557149967,0.5053901942571004,1.5272593625386557,0.16390104532241823
40,0.33442427246314904,0.14414773759833646,0.17997698424801095,0.14940733736482031,0.506214706103007,1.527368132273356,0.1628723955154419
