tag,scenario,optimizer,lr,variant_id,d_coef,d0,growth_rate,scheduler,desc,status,n_ep,val_total_best,best_ep,val_total_last,val_data_at_best,spike_rate_avg,gn_explosion_pct,lr_eff_start,lr_eff_max,lr_eff_end
R24F_mixed_lr0.1_V03,mixed,prodigy,0.1,V03,0.1,1e-06,inf,none,Brake medio (d_coef=0.1),OK,10,1.1276980915919264,4,1.127703964234667,0.8937789658282665,0.058628859604768255,0.1,1e-07,1e-07,1e-07
R24F_mixed_lr0.1_V04,mixed,prodigy,0.1,V04,0.01,1e-06,inf,none,Brake forte (d_coef=0.01),OK,10,1.1276980915919264,4,1.127703964234667,0.8937789658282665,0.058628859604768255,0.1,1e-07,1e-07,1e-07
R24F_mixed_lr0.1_V05,mixed,prodigy,0.1,V05,1.0,1e-06,1.02,none,Growth_rate cap smooth (paper 1.02),OK,10,0.951754815242392,10,0.951754815242392,0.7660478981251412,0.05863257358841436,0.1,1e-07,0.0001001983329124,0.0001001983329124
R24F_mixed_lr0.1_V06,mixed,prodigy,0.1,V06,1.0,1e-06,1.01,none,Growth_rate cap stretto (1.01),OK,10,0.9516935278760628,10,0.9516935278760628,0.7661132554107524,0.05863254347895366,0.2,1e-07,9.97775234039597e-05,9.97775234039597e-05
R24F_mixed_lr0.1_V07,mixed,prodigy,0.1,V07,1.0,0.0001,inf,none,d0 preheat alto (canonical kohya),OK,10,0.2506745624890987,10,0.2506745624890987,0.2351791895133383,0.06536653781745659,0.0,1e-05,0.0005071287004704,0.0005071287004704
R24F_mixed_lr0.1_V08,mixed,prodigy,0.1,V08,1.0,1e-06,inf,cosine_no_restart,Cosine sched (decay finale),OK,10,1.1277029189340613,2,1.1277574912664738,0.8938159143671076,0.058628877202801834,0.1,1e-07,2.0233978510484736e-07,7.987961939112078e-09
R24F_mixed_lr0.1_V09,mixed,prodigy,0.1,V09,0.1,1e-06,1.02,cosine_no_restart,Combo brake + cap + cosine,OK,10,1.12768451140282,4,1.1277136560133163,0.8937697602396316,0.05862884407347816,0.1,1e-07,1e-07,2.448149713500471e-09
R24F_mixed_lr0.1_V10,mixed,prodigy,0.1,V10,2.0,1e-06,inf,none,d_coef=2 canonical kohya,OK,10,0.2359835686201745,10,0.2359835686201745,0.2247590194753509,0.06840534583526717,0.1,1e-07,0.0009506501178409,0.0009506501178409
R24F_full_lr1.0_V01,full,prodigy,1.0,V01,1.0,1e-06,inf,none,Reference canonical (W1+W3 only),OK,10,0.2410223143214875,5,0.3577772070990598,0.2284988400110222,0.0384454713733074,75.7,1e-06,0.0723955093440447,0.0723955093440447
R24F_full_lr1.0_V02,full,prodigy,1.0,V02,0.5,1e-06,inf,none,Brake leggero (d_coef=0.5),OK,10,0.2281301670727577,8,0.3225534643898619,0.2145962945007263,0.05308031479808241,0.2,1e-06,0.0271490279256928,0.0271490279256928
R24F_full_lr1.0_V03,full,prodigy,1.0,V03,0.1,1e-06,inf,none,Brake medio (d_coef=0.1),OK,10,0.2324620241972994,10,0.2324620241972994,0.2202525636220866,0.06626467618972379,1.0,1e-06,0.0067670558804131,0.0067670558804131
R24F_full_lr1.0_V04,full,prodigy,1.0,V04,0.01,1e-06,inf,none,Brake forte (d_coef=0.01),OK,10,0.2941804853604829,10,0.2941804853604829,0.2818859976498371,0.06330789950022352,0.0,1e-06,0.0004955711546381,0.0004955711546381
R24F_full_lr1.0_V05,full,prodigy,1.0,V05,1.0,1e-06,1.02,none,Growth_rate cap smooth (paper 1.02),OK,10,0.2764554336429276,5,0.3156362619805843,0.2638897511394734,0.06609776366224628,84.1,1e-06,0.0446399576724727,0.0446399576724727
R24F_full_lr1.0_V06,full,prodigy,1.0,V06,1.0,1e-06,1.01,none,Growth_rate cap stretto (1.01),OK,10,0.2569041219639017,9,0.2933044925015023,0.2457603714726072,0.06433732192467972,0.0,1e-06,0.0228044936449698,0.0228044936449698
R24F_full_lr1.0_V07,full,prodigy,1.0,V07,1.0,0.0001,inf,none,d0 preheat alto (canonical kohya),OK,10,0.2252413239330053,6,0.2825598043805741,0.2122761903608098,0.04009483663236441,1.5,0.0001,0.0251939047708708,0.0251939047708708
R24F_full_lr1.0_V08,full,prodigy,1.0,V08,1.0,1e-06,inf,cosine_no_restart,Cosine sched (decay finale),OK,10,0.2223623335520003,9,0.2267408526324211,0.2093719981927821,0.04328122622373093,0.1,1e-06,0.0189879919685108,0.0004947421035469
R24F_full_lr1.0_V09,full,prodigy,1.0,V09,0.1,1e-06,1.02,cosine_no_restart,Combo brake + cap + cosine,OK,10,0.2539295924708564,10,0.2539295924708564,0.2422433673067295,0.07159512777753327,0.0,1e-06,0.0021800220053453,8.151312700697922e-05
R24F_full_lr1.0_V10,full,prodigy,1.0,V10,2.0,1e-06,inf,none,d_coef=2 canonical kohya,OK,10,0.2316306525484678,6,0.5977318195745032,0.2181393693181428,0.07636462665024266,56.00000000000001,1e-06,0.0705061715961636,0.0705061715961636
R24F_full_lr0.5_V01,full,prodigy,0.5,V01,1.0,1e-06,inf,none,Reference canonical (W1+W3 only),OK,10,0.2369072274007695,6,0.2458698073837985,0.2258533224701247,0.05397756229788851,0.7000000000000001,5e-07,0.017052670991872,0.017052670991872
R24F_full_lr0.5_V02,full,prodigy,0.5,V02,0.5,1e-06,inf,none,Brake leggero (d_coef=0.5),OK,10,0.2316747201567,9,0.2385050429308668,0.2198730602939712,0.06518981560093765,0.0,5e-07,0.0074802915924696,0.0074802915924696
R24F_full_lr0.5_V03,full,prodigy,0.5,V03,0.1,1e-06,inf,none,Brake medio (d_coef=0.1),OK,10,0.2550794829792799,9,0.2614391706883907,0.2445089496038061,0.07485899203754165,0.0,5e-07,0.0011935814105788,0.0011935814105788
R24F_full_lr0.5_V04,full,prodigy,0.5,V04,0.01,1e-06,inf,none,Brake forte (d_coef=0.01),OK,10,1.107573408554209,9,1.1076494369735108,0.9114040286934122,0.059829890155332466,0.0,5e-07,1.0376283280786674e-06,1.0376283280786674e-06
R24F_full_lr0.5_V05,full,prodigy,0.5,V05,1.0,1e-06,1.02,none,Growth_rate cap smooth (paper 1.02),OK,10,0.2324125411662649,9,0.2379201499626357,0.2197004666829362,0.05795843313507572,0.0,5e-07,0.0113008590038458,0.0113008590038458
R24F_full_lr0.5_V06,full,prodigy,0.5,V06,1.0,1e-06,1.01,none,Growth_rate cap stretto (1.01),OK,10,0.2626586788274506,9,0.2892954599984149,0.2509486807629149,0.0672436810673234,0.0,5e-07,0.0085365024343321,0.0085365024343321
R24F_full_lr0.5_V07,full,prodigy,0.5,V07,1.0,0.0001,inf,none,d0 preheat alto (canonical kohya),OK,10,0.2280480991652671,7,0.2495637453616933,0.2135481553825926,0.05680907939243662,0.2,5e-05,0.013813058777075,0.013813058777075
R24F_full_lr0.5_V08,full,prodigy,0.5,V08,1.0,1e-06,inf,cosine_no_restart,Cosine sched (decay finale),OK,10,0.2302796093628127,10,0.2302796093628127,0.2201961474294992,0.07069475390908721,18.5,5e-07,0.0067751446193729,0.0002509937580817
R24F_full_lr0.5_V09,full,prodigy,0.5,V09,0.1,1e-06,1.02,cosine_no_restart,Combo brake + cap + cosine,OK,10,0.5143746202613445,10,0.5143746202613445,0.434096245055503,0.0626851502389825,0.0,5e-07,0.0001088317738622,5.450389979985186e-06
R24F_full_lr0.5_V10,full,prodigy,0.5,V10,2.0,1e-06,inf,none,d_coef=2 canonical kohya,OK,10,0.2294524253365841,6,0.2526980429649987,0.2169337612477705,0.04318036209950417,0.5,5e-07,0.0258236770765935,0.0258236770765935
R24F_full_lr0.1_V01,full,prodigy,0.1,V01,1.0,1e-06,inf,none,Reference canonical (W1+W3 only),OK,10,0.8956281779769887,10,0.8956281779769887,0.7464968053267357,0.05982981521556983,0.0,1e-07,0.0001048039976117,0.0001048039976117
R24F_full_lr0.1_V02,full,prodigy,0.1,V02,0.5,1e-06,inf,none,Brake leggero (d_coef=0.5),OK,10,1.1076593508428716,10,1.1076593508428716,0.9114693257402866,0.05982114973854506,0.0,1e-07,1.3626145046957903e-06,1.3626145046957903e-06
