tag,scenario,status,n_ep,val_total_best,val_total_last,val_data_best,val_phys_at_best,val_ou_at_best,val_sr_at_best,best_ep,spike_rate_avg,spike_rate_last,grad_norm_avg,optimizer,lr,variant_id,gn_explosion_pct,lr_eff_max,lr_eff_end
R24F_mixed_lr0.5_V04,mixed,OK,10,1.1268284010126235,1.1269874407889997,0.8930218725445422,0.8909911938962785,0.0322654012967138,0.0084015216103735,8,0.05864243992267447,0.0586497993109391,19004.078248258775,prodigy,0.5,V04,0.1,1.0255951027435422e-06,1.0255951027435422e-06
R24F_mixed_lr0.5_V05,mixed,OK,10,0.2040947244126112,0.2239497896838695,0.1936209124532786,0.0414567247523549,0.012292922848459,0.0109150637265671,9,0.056424014023604176,0.0473423898715446,1.7046425110604613,prodigy,0.5,V05,0.0,0.0162901468892396,0.0162901468892396
R24F_mixed_lr0.5_V06,mixed,OK,10,0.237480434807057,0.237480434807057,0.2239722269884449,0.0544864262325411,0.0113834986200635,0.007780217156904,10,0.06406374237440679,0.0626817552888013,33.24163974775374,prodigy,0.5,V06,0.0,0.0085306786510544,0.0085306786510544
R24F_mixed_lr0.5_V07,mixed,OK,10,0.1991076002174869,0.2279065691251704,0.1875493194353073,0.0393708336310698,0.0140066303961731,0.0127770810789289,9,0.08439621967065361,0.046490183298258,3102315999651795.0,prodigy,0.5,V07,23.200000000000003,0.0148314926457759,0.0148314926457759
R24F_mixed_lr0.5_V08,mixed,OK,10,0.1887015574314492,0.1887015574314492,0.1805535644847662,0.0360956318488225,0.010617755058697,0.0060418416511272,10,0.07137302101807705,0.0763469724024229,0.9973668826594949,prodigy,0.5,V08,0.0,0.006277223389132,0.0002347206736331
R24F_mixed_lr0.5_V09,mixed,OK,10,0.5424538722380678,0.5424538722380678,0.4399611445817541,0.2072236790579367,0.0166087376914839,0.0078953436038337,10,0.059958020028995015,0.0616765711258383,33.12080437257886,prodigy,0.5,V09,0.0,0.0001071737463167,5.308537710958665e-06
R24F_mixed_lr0.5_V10,mixed,OK,10,0.2013751776453028,0.2790777697921433,0.1861528810906283,0.0381511552308864,0.0135883699292614,0.0138444534324585,6,0.06071771015809409,0.0846462161577445,1932664301331131.5,prodigy,0.5,V10,75.9,0.0485767478061453,0.0485767478061453
R24F_mixed_lr1.0_V01,mixed,OK,10,0.2084136668275645,0.2597144896838259,0.1962896312408625,0.0447490667835115,0.011200671720794,0.0133142052713702,4,0.038986213488425,0.0371182377034045,2.3095875511511204e+16,prodigy,1.0,V01,84.0,0.0376390639355403,0.0376390639355403
R24F_mixed_lr1.0_V02,mixed,OK,10,0.2129268705290048,0.2882168533954214,0.2029124228481916,0.0474595448715572,0.0055037876405317,0.0097237325352715,3,0.12886849220425997,0.1805408070696161,57338496209420.375,prodigy,1.0,V02,110.2,0.0234666880909206,0.0234666880909206
R24F_mixed_lr1.0_V03,mixed,OK,10,0.1975393658305736,0.1975393658305736,0.186376473648434,0.0380846245110312,0.0121747999194454,0.0103481591634571,10,0.06363283490881,0.0493189008074237,9825096026129616.0,prodigy,1.0,V03,0.8,0.0062086077437479,0.0062086077437479
