key,sweep,arm,family,optimizer,scheduler,lr,spectral_lambda,spectral_target,rank,decode_on,seed,cache,common_val,budget_ep,ran_ep,aborted,has_diag,val_data_min,val_data_final3,nrmse_mean,nrmse_v0,nrmse_T,nrmse_s0,nrmse_a,nrmse_b,time_total_s,final_spectral_radius,final_spike_rate
BigSweep/ADAM_lr2e3_t10,BigSweep,ADAM_lr2e3_t10,AdamW_decodeOFF,adamw,cosine_no_restart,0.002,1.0,1.0,8,False,42,data/cache_1500_launch_cut0.0_ou0.0.pt,True,50,50,False,True,0.2196,0.2238,0.249,0.276,0.287,0.142,0.261,0.276,3738.2,1.035,0.196
BigSweep/ADAM_lr3e3_t10,BigSweep,ADAM_lr3e3_t10,AdamW_decodeOFF,adamw,cosine_no_restart,0.003,1.0,1.0,8,False,42,data/cache_1500_launch_cut0.0_ou0.0.pt,True,50,50,False,True,0.221,0.2227,0.259,0.294,0.289,0.183,0.249,0.278,5641.5,1.035,0.191
BigSweep2/P1_lr2e3_t05,BigSweep2,P1_lr2e3_t05,AdamW_decodeOFF,adamw,cosine_no_restart,0.002,1.0,0.5,,False,42,data/cache_1500_launch_cut0.0_ou0.0.pt,True,50,50,False,True,0.2227,0.2327,0.247,0.323,0.261,0.156,0.253,0.239,3745.4,0.509,0.173
BigSweep2/P1_lr3e3_t07,BigSweep2,P1_lr3e3_t07,AdamW_decodeOFF,adamw,cosine_no_restart,0.003,1.0,0.7,,False,42,data/cache_1500_launch_cut0.0_ou0.0.pt,True,50,50,False,True,0.2228,0.2295,0.34,0.525,0.283,0.348,0.267,0.28,3733.6,0.73,0.193
BigSweep2/P1_lr2e3_t06,BigSweep2,P1_lr2e3_t06,AdamW_decodeOFF,adamw,cosine_no_restart,0.002,1.0,0.6,,False,42,data/cache_1500_launch_cut0.0_ou0.0.pt,True,50,50,False,True,0.2234,0.2257,0.246,0.21,0.272,0.149,0.263,0.337,3739.5,0.637,0.205
BigSweep/ADAM_lr3e3_t12,BigSweep,ADAM_lr3e3_t12,AdamW_decodeOFF,adamw,cosine_no_restart,0.003,1.0,1.2,8,False,42,data/cache_1500_launch_cut0.0_ou0.0.pt,True,50,37,True,True,0.2258,0.244,0.297,0.457,0.295,0.11,0.295,0.326,2793.3,1.495,0.209
Spectral/SPEC_l10_t15,Spectral,SPEC_l10_t15,Spectral_sweep,adamw,cosine_no_restart,0.002,1.0,1.5,8,False,42,data/cache_1500_launch_cut0.0_ou0.0.pt,True,25,25,False,True,0.2288,0.2305,0.248,0.223,0.284,0.168,0.236,0.33,1883.4,1.628,0.151
BigSweep/ADAM_lr2e3_t12,BigSweep,ADAM_lr2e3_t12,AdamW_decodeOFF,adamw,cosine_no_restart,0.002,1.0,1.2,8,False,42,data/cache_1500_launch_cut0.0_ou0.0.pt,True,50,26,True,True,0.23,0.2607,0.227,0.19,0.27,0.135,0.214,0.327,1957.1,1.699,0.156
BigSweep/ADAM_lr1e3_t12,BigSweep,ADAM_lr1e3_t12,AdamW_decodeOFF,adamw,cosine_no_restart,0.001,1.0,1.2,8,False,42,data/cache_1500_launch_cut0.0_ou0.0.pt,True,50,50,False,True,0.2304,0.2405,0.228,0.232,0.223,0.208,0.239,0.237,3724.6,1.238,0.157
Spectral/SPEC_l05_t12,Spectral,SPEC_l05_t12,Spectral_sweep,adamw,cosine_no_restart,0.002,0.5,1.2,8,False,42,data/cache_1500_launch_cut0.0_ou0.0.pt,True,25,25,False,True,0.2309,0.2459,0.24,0.304,0.261,0.147,0.226,0.26,1914.1,1.241,0.155
BigSweep3/A_lr1e2_t05_r16_noDEC,BigSweep3,A_lr1e2_t05_r16_noDEC,AdamW_decodeOFF,adamw,cosine_no_restart,0.01,1.0,0.5,16,False,42,data/cache_1500_launch_cut0.0_ou0.0.pt,True,50,50,False,True,0.2309,0.232,0.379,0.552,0.334,0.404,0.263,0.343,3750.4,0.606,0.262
BigSweep2/PE_t05_gp00,BigSweep2,PE_t05_gp00,ProdigyEvent,prodigy_event,cosine_no_restart,0.3,1.0,0.5,16,True,42,data/cache_1500_launch_cut0.0_ou0.0.pt,True,50,50,False,True,0.231,0.2311,0.187,0.19,0.132,0.202,0.251,0.159,3731.8,0.487,0.214
