arm,scenario,n,data,phys,nrmse_v0,nrmse_T,nrmse_s0,nrmse_a,nrmse_b
A_lr7e3_t05_r16_s2,truck,26,0.1161,0.0141,0.348,0.11,0.224,0.028,0.272
A_lr7e3_t05_r16_s2,urban,47,0.2494,0.0646,0.337,0.109,0.027,0.319,0.185
A_lr7e3_t05_r16_s3,freeflow,50,0.1608,0.0297,0.117,0.515,0.039,0.241,0.488
A_lr7e3_t05_r16_s3,highway,56,0.1665,0.0296,0.215,0.126,0.123,0.325,0.232
A_lr7e3_t05_r16_s3,launch,102,0.2393,0.0595,0.19,0.306,0.094,0.168,0.304
A_lr7e3_t05_r16_s3,mixed,19,0.2246,0.0536,0.404,0.12,0.123,0.225,0.161
A_lr7e3_t05_r16_s3,truck,26,0.1228,0.0159,0.423,0.112,0.246,0.034,0.396
A_lr7e3_t05_r16_s3,urban,47,0.2371,0.0588,0.423,0.109,0.021,0.346,0.157
A_lr7e3_t05_r24,freeflow,50,0.1632,0.0293,0.093,0.506,0.053,0.218,0.463
A_lr7e3_t05_r24,highway,56,0.1693,0.0304,0.128,0.123,0.114,0.298,0.192
A_lr7e3_t05_r24,launch,102,0.233,0.0558,0.165,0.317,0.127,0.164,0.275
A_lr7e3_t05_r24,mixed,19,0.2391,0.0604,0.264,0.12,0.136,0.184,0.124
A_lr7e3_t05_r24,truck,26,0.1316,0.0181,0.275,0.111,0.252,0.044,0.344
A_lr7e3_t05_r24,urban,47,0.256,0.0682,0.28,0.105,0.026,0.313,0.165
A_lr7e3_t05_r32,freeflow,50,0.1639,0.0297,0.101,0.491,0.07,0.244,0.468
A_lr7e3_t05_r32,highway,56,0.1651,0.0287,0.148,0.114,0.145,0.293,0.176
A_lr7e3_t05_r32,launch,102,0.2382,0.0587,0.169,0.297,0.111,0.154,0.298
A_lr7e3_t05_r32,mixed,19,0.2382,0.06,0.271,0.117,0.119,0.181,0.136
A_lr7e3_t05_r32,truck,26,0.1498,0.0233,0.295,0.11,0.255,0.048,0.338
A_lr7e3_t05_r32,urban,47,0.2495,0.0649,0.28,0.105,0.027,0.293,0.17
A_lr7e3_t05_r8,freeflow,50,0.163,0.029,0.09,0.471,0.066,0.261,0.489
A_lr7e3_t05_r8,highway,56,0.1653,0.029,0.145,0.116,0.041,0.316,0.163
A_lr7e3_t05_r8,launch,102,0.236,0.0576,0.182,0.294,0.091,0.148,0.31
A_lr7e3_t05_r8,mixed,19,0.2299,0.0559,0.263,0.12,0.076,0.193,0.139
A_lr7e3_t05_r8,truck,26,0.1112,0.0132,0.298,0.108,0.161,0.033,0.346
A_lr7e3_t05_r8,urban,47,0.2511,0.066,0.26,0.104,0.043,0.295,0.193
